ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
603236.SH,20260424,20251231,招商银行股份有限公司-睿远成长价值混合型证券投资基金,2320500.0,0.8062,0.8868,-584200.0,开放式投资基金
603236.SH,20260424,20251231,赏根荣,2170980.0,0.7543,0.8297,-4400.0,自然人
603236.SH,20251024,20250930,赏根荣,2175380.0,0.8314,0.8314,,自然人
603236.SH,20251024,20250930,项小英,3414200.0,1.3048,1.3048,0.0,自然人
603236.SH,20251024,20250930,上海行知创业投资有限公司,3425000.0,1.309,1.309,0.0,风险投资公司
603236.SH,20251024,20250930,朱岳海,6287179.0,2.4028,2.4028,301400.0,自然人
603236.SH,20251024,20250930,张栋,3548720.0,1.3562,1.3562,0.0,自然人
603236.SH,20251024,20250930,宁波移远投资合伙企业(有限合伙),17257208.0,6.5953,6.5953,0.0,投资公司
603236.SH,20251024,20250930,香港中央结算有限公司,17750047.0,6.7837,6.7837,1114129.0,一般企业
603236.SH,20251024,20250930,招商银行股份有限公司-睿远成长价值混合型证券投资基金,2904700.0,1.1101,1.1101,-198200.0,开放式投资基金
603236.SH,20251024,20250930,MINHONGMAO,12559567.0,4.8,4.8,0.0,自然人
603236.SH,20251024,20250930,钱鹏鹤,44970241.0,17.1867,17.1867,0.0,自然人
603236.SH,20250815,20250630,钱鹏鹤,44970241.0,17.1867,17.1867,0.0,自然人
603236.SH,20250815,20250630,宁波移远投资合伙企业(有限合伙),17257208.0,6.5953,6.5953,0.0,投资公司
603236.SH,20250815,20250630,香港中央结算有限公司,16635918.0,6.3579,6.3579,1561047.0,一般企业
603236.SH,20250815,20250630,朱岳海,5985779.0,2.2876,2.2876,100000.0,自然人
603236.SH,20250429,20250331,招商银行股份有限公司-睿远成长价值混合型证券投资基金,4592700.0,1.7552,1.7552,,开放式投资基金
603236.SH,20250429,20250331,葛贵莲,4266970.0,1.6307,1.6307,0.0,自然人
603236.SH,20250429,20250331,葛卫东,3626000.0,1.3858,1.3858,0.0,自然人
603236.SH,20250429,20250331,张栋,3548720.0,1.3562,1.3562,0.0,自然人
603236.SH,20250429,20250331,上海行知创业投资有限公司,3440000.0,1.3147,1.3147,-7800.0,风险投资公司
603236.SH,20250429,20250331,宁波移远投资合伙企业(有限合伙),17257208.0,6.5953,6.5953,0.0,投资公司
603236.SH,20250429,20250331,香港中央结算有限公司,15074871.0,5.7613,5.7613,-4231647.0,一般企业
603236.SH,20250429,20250331,MINHONGMAO,12559567.0,4.8,4.8,,自然人
603236.SH,20250429,20250331,朱岳海,5885779.0,2.2494,2.2494,1777840.0,自然人
603236.SH,20250429,20250331,钱鹏鹤,44970241.0,17.1867,17.1867,-12559567.0,自然人
603236.SH,20240207,20240201,张栋,3548720.0,1.3413,1.3413,0.0,自然人
603236.SH,20240207,20240201,上海重阳战略投资有限公司-重阳战略英智基金,3231127.0,1.2213,1.2213,0.0,其他金融产品
603236.SH,20240207,20240201,上海重阳战略投资有限公司-重阳战略才智基金,2867066.0,1.0837,1.0837,,其他金融产品
603236.SH,20240207,20240201,钱鹏鹤,60175557.0,22.7442,22.7442,0.0,自然人
603236.SH,20240207,20240201,宁波移远投资合伙企业(有限合伙),17257208.0,6.5226,6.5226,0.0,投资公司
603236.SH,20240207,20240201,香港中央结算有限公司,10726472.0,4.0542,4.0542,3436911.0,一般企业
603236.SH,20240207,20240201,上海重阳战略投资有限公司-重阳战略聚智基金,4325902.0,1.635,1.635,0.0,其他金融产品
603236.SH,20240207,20240201,葛贵莲,4266970.0,1.6128,1.6128,0.0,自然人
603236.SH,20240207,20240201,上海行知创业投资有限公司,3887856.0,1.4695,1.4695,0.0,风险投资公司
603236.SH,20240207,20240201,葛卫东,3634800.0,1.3738,1.3738,-5200.0,自然人
603236.SH,20231026,20230930,张栋,3548720.0,1.3413,1.3413,0.0,自然人
603236.SH,20231026,20230930,上海重阳战略投资有限公司-重阳战略英智基金,3231127.0,1.2213,1.2213,0.0,其他金融产品
603236.SH,20231026,20230930,钱鹏鹤,60175557.0,22.7442,22.7442,0.0,自然人
603236.SH,20231026,20230930,宁波移远投资合伙企业(有限合伙),17257208.0,6.5226,6.5226,0.0,投资公司
603236.SH,20231026,20230930,香港中央结算有限公司,6898763.0,2.6075,2.6075,1669157.0,一般企业
603236.SH,20231026,20230930,上海重阳战略投资有限公司-重阳战略聚智基金,4325902.0,1.635,1.635,0.0,其他金融产品
603236.SH,20231026,20230930,葛贵莲,4266970.0,1.6128,1.6128,0.0,自然人
603236.SH,20231026,20230930,上海行知创业投资有限公司,3887856.0,1.4695,1.4695,0.0,风险投资公司
603236.SH,20231026,20230930,鹏华基金-中国人寿保险股份有限公司-分红险-鹏华基金国寿股份成长股票型组合单一资产管理计划(可供出售),3789342.0,1.4322,1.4322,0.0,基金专户理财
603236.SH,20231026,20230930,葛卫东,3640000.0,1.3758,1.3758,0.0,自然人
603236.SH,20230831,20230825,钱鹏鹤,60175557.0,22.7442,22.7442,0.0,自然人
603236.SH,20230831,20230825,宁波移远投资合伙企业(有限合伙),17257208.0,6.5226,6.5226,0.0,投资公司
603236.SH,20230831,20230825,香港中央结算有限公司,5229606.0,1.9766,1.9766,-684765.0,一般企业
603236.SH,20230831,20230825,上海重阳战略投资有限公司-重阳战略聚智基金,4325902.0,1.635,1.635,0.0,其他金融产品
603236.SH,20230831,20230825,葛贵莲,4266970.0,1.6128,1.6128,0.0,自然人
603236.SH,20230831,20230825,上海行知创业投资有限公司,3887856.0,1.4695,1.4695,-43843.0,风险投资公司
603236.SH,20230831,20230825,鹏华基金-中国人寿保险股份有限公司-分红险-鹏华基金国寿股份成长股票型组合单一资产管理计划(可供出售),3789342.0,1.4322,1.4322,0.0,基金专户理财
603236.SH,20230831,20230825,葛卫东,3640000.0,1.3758,1.3758,0.0,自然人
603236.SH,20230831,20230825,张栋,3548720.0,1.3413,1.3413,0.0,自然人
603236.SH,20230831,20230825,上海重阳战略投资有限公司-重阳战略英智基金,3231127.0,1.2213,1.2213,0.0,其他金融产品
603236.SH,20230425,20230331,钱鹏鹤,42982541.0,22.7442,22.7442,-20300.0,自然人
603236.SH,20230425,20230331,宁波移远投资合伙企业(有限合伙),12326577.0,6.5226,6.5226,-1869423.0,投资公司
603236.SH,20230425,20230331,香港中央结算有限公司,3703201.0,1.9596,1.9596,48835.0,一般企业
603236.SH,20230425,20230331,上海行知创业投资有限公司,3196627.0,1.6915,1.6915,-235184.0,风险投资公司
603236.SH,20230425,20230331,上海重阳战略投资有限公司-重阳战略聚智基金,3089930.0,1.635,1.635,0.0,其他金融产品
603236.SH,20230425,20230331,葛贵莲,3047836.0,1.6128,1.6128,0.0,自然人
603236.SH,20230425,20230331,鹏华基金-中国人寿保险股份有限公司-分红险-鹏华基金国寿股份成长股票型组合单一资产管理计划(可供出售),2706673.0,1.4322,1.4322,0.0,基金专户理财
603236.SH,20230425,20230331,葛卫东,2600000.0,1.3758,1.3758,0.0,自然人
603236.SH,20230425,20230331,张栋,2534800.0,1.3413,1.3413,0.0,自然人
603236.SH,20230425,20230331,华润深国投信托有限公司-华润信托·慎知资产行知集合资金信托计划,2343530.0,1.2401,1.2401,-446445.0,信托公司集合信托计划
603236.SH,20221029,20220930,钱鹏鹤,43002841.0,22.755,22.755,,自然人
603236.SH,20221029,20220930,宁波移远投资合伙企业(有限合伙),14196000.0,7.5118,7.5118,,投资、咨询公司
603236.SH,20221029,20220930,香港中央结算有限公司,11017538.0,5.8299,5.8299,3561184.0,一般企业
603236.SH,20221029,20220930,上海行知创业投资有限公司,3441769.0,1.8212,1.8212,-309210.0,风险投资公司
603236.SH,20221029,20220930,上海重阳战略投资有限公司-重阳战略聚智基金,3089930.0,1.635,1.635,0.0,其他金融产品
603236.SH,20221029,20220930,葛贵莲,3047836.0,1.6128,1.6128,0.0,自然人
603236.SH,20221029,20220930,鹏华基金-中国人寿保险股份有限公司-分红险-鹏华基金国寿股份成长股票型组合单一资产管理计划(可供出售),2706673.0,1.4322,1.4322,,基金专户理财
603236.SH,20221029,20220930,葛卫东,2600000.0,1.3758,1.3758,0.0,自然人
603236.SH,20221029,20220930,张栋,2534800.0,1.3413,1.3413,,自然人
603236.SH,20221029,20220930,上海重阳战略投资有限公司-重阳战略英智基金,2307948.0,1.2213,1.2213,0.0,其他金融产品
603236.SH,20220824,20220630,上海重阳战略投资有限公司-重阳战略英智基金,2307948.0,1.2213,1.8011,,其他金融产品
603236.SH,20220824,20220630,华润深国投信托有限公司-华润信托·慎知资产行知集合资金信托计划,2205946.0,1.1673,1.7215,,信托公司集合信托计划
603236.SH,20220824,20220630,上海重阳战略投资有限公司-重阳战略才智基金,2047904.0,1.0837,1.5982,,其他金融产品
603236.SH,20220429,20220331,香港中央结算有限公司,3134555.0,2.1562,3.18,-362093.0,一般企业
603236.SH,20220429,20220331,上海行知创业投资有限公司,2901569.0,1.996,2.9436,-77032.0,风险投资公司
603236.SH,20220429,20220331,任晗熙,2404300.0,1.6539,2.4392,-5700.0,自然人
603236.SH,20220429,20220331,上海重阳战略投资有限公司-重阳战略聚智基金,2376869.0,1.635,2.4113,0.0,其他金融产品
603236.SH,20220429,20220331,上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金,2363588.0,1.6259,2.3979,-403380.0,开放式投资基金
603236.SH,20220429,20220331,重庆信展股权投资基金管理有限公司-重庆信展保达投资中心(有限合伙),2088049.0,1.4364,2.1183,-1076141.0,投资、咨询公司
603236.SH,20220429,20220331,葛卫东,2000000.0,1.3758,2.029,-124783.0,自然人
603236.SH,20220429,20220331,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),2000000.0,1.3758,2.029,239027.0,开放式投资基金
603236.SH,20220429,20220331,福建创高智联技术股份有限公司,1972966.0,1.3572,2.0016,-12100.0,一般企业
